epoch,step,r2_score,mse,val_loss,train_loss
28,1199,-3.949120044708252,1138558369792.0,,1138558369792.0
28,1217,-4.837693214416504,1253263540224.0,1253263540224.0,
29,1249,-4.093616008758545,1215333531648.0,,1215333531648.0
29,1259,-4.837688446044922,1253262360576.0,1253262360576.0,
30,1299,-4.433782577514648,999995801600.0,,999995801600.0
30,1301,-4.837684631347656,1253261574144.0,1253261574144.0,
31,1343,-4.837680816650391,1253260787712.0,1253260787712.0,
32,1349,-8.252801895141602,994202222592.0,,994202222592.0
32,1385,-4.837676048278809,1253259739136.0,1253259739136.0,
33,1399,-2.9657678604125977,1460482211840.0,,1460482211840.0
33,1427,-4.837671756744385,1253258821632.0,1253258821632.0,
34,1449,-3.858201026916504,1332074119168.0,,1332074119168.0
34,1469,-4.837667465209961,1253258035200.0,1253258035200.0,
35,1499,-3.4314470291137695,1137232707584.0,,1137232707584.0
35,1511,-4.837663173675537,1253257248768.0,1253257248768.0,
36,1549,-8.634028434753418,999795523584.0,,999795523584.0
36,1553,-4.837658405303955,1253256200192.0,1253256200192.0,
37,1595,-4.837653636932373,1253255413760.0,1253255413760.0,
38,1599,-2.6663763523101807,2102885089280.0,,2102885089280.0
38,1637,-4.837649345397949,1253254496256.0,1253254496256.0,
39,1649,-4.137903690338135,1465303826432.0,,1465303826432.0
39,1679,-4.837645053863525,1253253578752.0,1253253578752.0,
40,1699,-3.9316883087158203,1677334806528.0,,1677334806528.0
40,1721,-4.83764123916626,1253252661248.0,1253252661248.0,
41,1749,-3.4045257568359375,1439073566720.0,,1439073566720.0
41,1763,-4.837636470794678,1253251743744.0,1253251743744.0,
42,1799,-5.212754726409912,1086984552448.0,,1086984552448.0
42,1805,-4.837631702423096,1253250826240.0,1253250826240.0,
43,1847,-4.83762788772583,1253250039808.0,1253250039808.0,
44,1849,-3.1152148246765137,1260116377600.0,,1260116377600.0
44,1889,-4.837623596191406,1253248991232.0,1253248991232.0,
45,1899,-2.822373390197754,1603812196352.0,,1603812196352.0
45,1931,-4.837619304656982,1253248335872.0,1253248335872.0,
46,1949,-3.5508532524108887,1503443812352.0,,1503443812352.0
46,1973,-4.837615013122559,1253247287296.0,1253247287296.0,
47,1999,-2.9355599880218506,1520387751936.0,,1520387751936.0
47,2015,-4.837609767913818,1253246369792.0,1253246369792.0,
48,2049,-3.8179264068603516,1228313985024.0,,1228313985024.0
48,2057,-4.837606430053711,1253245452288.0,1253245452288.0,
49,2099,-4.065176486968994,1274630373376.0,,1274630373376.0
49,2099,-4.837601661682129,1253244665856.0,1253244665856.0,
50,2141,-4.837597370147705,1253243617280.0,1253243617280.0,
51,2149,-2.632277488708496,1463075209216.0,,1463075209216.0
51,2183,-4.837592601776123,1253242699776.0,1253242699776.0,
52,2199,-1.9733552932739258,1570125381632.0,,1570125381632.0
52,2225,-4.837588310241699,1253242044416.0,1253242044416.0,
53,2249,-3.9188761711120605,1086161027072.0,,1086161027072.0
53,2267,-4.837584018707275,1253240995840.0,1253240995840.0,
54,2299,-6.446250915527344,1133453508608.0,,1133453508608.0
54,2309,-4.837579727172852,1253240209408.0,1253240209408.0,
55,2349,-2.591068983078003,1995025416192.0,,1995025416192.0
55,2351,-4.837575435638428,1253239291904.0,1253239291904.0,
